cluster_id,size,avg_time,avg_score_diff,unique_teams,unique_players,unique_goalies,avg_team_score,avg_opponent_score,avg_total_score,most_common_game_state,avg_x,avg_y
0,31,2751.7096774193546,-1.3548387096774193,18,26,27,3.806451612903226,4.161290322580645,6.967741935483871,trailing,,
1,27,1303.888888888889,1.0,20,27,22,2.0,0.0,1.0,leading,,
2,26,201.8846153846154,0.0,17,26,24,1.0769230769230769,0.07692307692307693,0.15384615384615385,tied,,
3,24,2454.5416666666665,2.9166666666666665,18,24,23,4.666666666666667,0.75,4.416666666666667,leading,,
4,22,276.8636363636364,0.0,17,22,17,1.0,0.0,0.0,tied,,
5,21,2748.6190476190477,-2.8095238095238093,17,21,18,1.3333333333333333,3.142857142857143,3.4761904761904763,trailing,,
6,20,681.75,-1.0,12,20,20,1.0,1.0,1.0,trailing,,
7,19,3111.7894736842104,0.0,11,18,18,4.105263157894737,3.1052631578947367,6.2105263157894735,tied,,
8,19,2304.8947368421054,0.0,14,19,17,1.631578947368421,0.631578947368421,1.263157894736842,tied,,
9,19,1379.578947368421,0.0,12,19,18,1.4210526315789473,0.42105263157894735,0.8421052631578947,tied,,
10,18,2657.3888888888887,-1.0,14,18,16,2.0,2.0,3.0,trailing,,
11,18,1276.5555555555557,2.0555555555555554,14,18,17,3.0555555555555554,0.0,2.0555555555555554,leading,,
12,17,3013.6470588235293,2.0,14,16,14,5.411764705882353,2.411764705882353,6.823529411764706,leading,,
13,16,2813.6875,1.0,12,16,14,3.0,1.0,3.0,leading,,
14,16,1409.25,-2.0,12,15,14,1.0,2.0,2.0,trailing,,
15,16,593.9375,0.0,12,16,14,1.125,0.125,0.25,tied,,
16,16,782.75,0.0,14,16,15,1.0625,0.0625,0.125,tied,,
17,14,2970.8571428571427,1.0,12,14,12,4.0,2.0,5.0,leading,,
18,13,3096.846153846154,-1.0,10,13,13,3.0,3.0,5.0,trailing,,
19,12,1474.5,-1.0,8,12,12,1.0,1.0,1.0,trailing,,
20,12,1445.5,-1.0,8,11,11,2.0,2.0,3.0,trailing,,
21,11,2530.3636363636365,2.0,9,11,11,3.0,0.0,2.0,leading,,
22,10,1105.9,0.0,7,10,10,2.0,1.0,2.0,tied,,
23,10,1769.7,0.1,9,10,10,3.5,2.4,4.9,tied,,
24,9,558.3333333333334,0.0,9,9,9,1.0,0.0,0.0,tied,,
25,9,1219.2222222222222,1.0,7,9,9,3.0,1.0,3.0,leading,,
26,8,2369.0,-2.0,8,8,8,2.0,3.0,4.0,trailing,,
27,8,3339.5,0.0,7,8,8,3.0,2.0,4.0,tied,,
28,7,1395.0,-2.5714285714285716,7,7,6,2.0,3.5714285714285716,4.571428571428571,trailing,,
29,7,3279.8571428571427,-2.0,7,7,7,2.0,3.0,4.0,trailing,,
30,7,414.2857142857143,1.0,6,7,6,2.0,0.0,1.0,leading,,
31,5,2819.6,1.0,5,5,4,2.0,0.0,1.0,leading,,
32,5,638.6,0.0,4,5,5,2.0,1.0,2.0,tied,,
33,4,2191.0,-1.0,4,4,3,1.0,1.0,1.0,trailing,,
34,4,3386.75,2.0,4,4,3,4.0,1.0,4.0,leading,,
