combo_idx,umap_params,hdbscan_params,galaxy_n_clusters,galaxy_silhouette,galaxy_calinski_harabasz,galaxy_davies_bouldin,cluster_n_clusters,cluster_silhouette,cluster_calinski_harabasz,cluster_davies_bouldin,largest_galaxy_size
1,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 50},63,0.8276045918464661,2844.636962890625,0.4455941061162372,25,0.6931475400924683,511.32659912109375,0.6972537701616084,2843
2,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 100},39,0.6533693075180054,1608.4671630859375,0.7982172627736756,15,0.4727526903152466,576.38330078125,0.9960634735373066,4081
3,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.05}",{'min_cluster_size': 150},29,0.5967952609062195,1733.158935546875,0.8915588740937792,9,0.3455227017402649,568.7738647460938,1.2684833896719254,3927
4,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 50},63,0.8295344114303589,3268.890869140625,0.6952994166486668,17,0.6218874454498291,451.08197021484375,0.7615946875919756,2160
5,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 100},40,0.657019853591919,1643.2264404296875,0.770029896503483,16,0.4533746838569641,516.8631591796875,1.069571772622516,4107
6,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.1}",{'min_cluster_size': 150},28,0.598715603351593,1970.431640625,0.8831073804409325,10,0.41228389739990234,591.239501953125,1.377779419816544,3878
7,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 50},64,0.8295153379440308,3608.96484375,0.4071079216906579,19,0.5568599700927734,408.8909606933594,0.8515582298988054,2674
8,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 100},38,0.6433039307594299,1771.5672607421875,0.8060695149441847,16,0.4399591088294983,426.6521911621094,1.1963568788686472,3955
9,"{'n_components': 10, 'n_neighbors': 10, 'min_dist': 0.15}",{'min_cluster_size': 150},29,0.5714299082756042,1687.0020751953125,0.9139466040008535,10,0.34911659359931946,572.8070068359375,1.3078472656292597,4434
10,"{'n_components': 10, 'n_neighbors': 15, 'min_dist': 0.05}",{'min_cluster_size': 50},63,0.8839071393013,7085.71240234375,1.0142893102670414,16,0.6800097227096558,654.515869140625,1.171339084588408,2160
